,,
Alert id,Chain id,TP/FP
0x769bf0c52034ede84adc092e4f465fb2d337be135d342dd325a5aff4c510d766,137,TP
0x5af7a30d364aabaeb3295e9fe23f01aa8e1db365eff0f21317d4e68ef3840d7a,137,TP
0xaf14fb0a0dec0a8a2e3e8a7bf794bb3cb9601ec5fbe9a00146dda18a14427496,137,TP
0x8eb4f1ae58ddd073883a17cecccae3973d4b71228f2e31e57ecac9992cf5ae35,137,fP
0xeb6ccdfcb957697ad68ef3610f152c402e4bbf4c6dab98149070106c8dd564b2,56,TP
0x041676b6b670dcbe00bb0bf0ed481447d397601037c74297cb3d5b7b35447939,56,TP
0xae944345e431466c4282182d64c615448193ba101edc9f525b9f38a086df600f,56,TP
0xcb3b86433b5c1be4acb7e3cd3aa281bb45bed34f511cb2db06f1a0c18066f7fe,56,TP
0x1bb857497d29dd860a9e6666bbc86f84fdd15f2992118d12364a404a78385348,43114,TP
0x59993f33317bb1a1d41d25916b8b9d43f609dbe94e697a6c631468995fb726a5,43114,TP
0xfe0b1c35150a1948efb984b55476e165b620af7063cefd22382684d04d4b9242,43114,TP
0x843d868534ecc01730088db6a88c0b6708a987293bbf2618a5adbd6fd7efd78c,43114,TP
0xcfc4636c09c40b17d7fd09d056af83dc9923fd249a8e5a416fc6a9bbdaa652d1,42161,TP
0xa762111ad1360b47db11214e84b161d8196a251af1249359651b46e64b86a71b,42161,TP
0xd6c999e35358100e258392847a532e2952aceb253f5032f3fcf97a960089dd51,42161,TP
0x3abcd79dc28a7763ca3d7eb53bc67a19e215b1050a2dc07805f2db115c010cfd,42161,TP
0x3d34cccfaae578176bbda6d249280b0198e8be02828c85b313bca6781258d79c,10,TP
0xf6e6afbdf2ff05eb52a6ca5602daf992c58f91db970a8bb216f17668d309707b,10,TP
0x19651d93aa098e76e60ffe29fa9a08150dd6594f3f7bb4f4f06ac62d7479ee9a,10,TP
0x535375b9ccdcb808c3061b7e22d906b7d82c34ce69cd96b785dcc2de2e1061a1,10,TP
0x07118b07cb2df1bdb2dc036e8862c0db651c6d469a6d4b93927fa1080e26dd02,250,TP
0x42bff7d3ccf56cfa4d104fbeec14f75ac760f6926abbd8d865a6d7343e459275,250,TP
0xb3087c8b5abb6c27fea7d73ea2841f5c2e5e5b3fcfb22766d247744e99a928cb,250,TP
0x6753438a6229d224d15aa0ca3f8cf68b20ba29b4134c12e5d75e2e199ff8eb83,250,TP
Precision,0.964,96.40%
